variant,source,loss,ppl,delta_vs_s1,delta_vs_s3,tokens,sequences
s1,existing_same_seed_baseline,1.734557,5.666417,+0.000000,+0.001926,17625568,84688
center_dynamic,new_ablation,1.731871,5.651217,-0.002686,-0.000760,17625568,84688
s3,existing_same_seed_baseline,1.732631,5.655514,-0.001926,+0.000000,17625568,84688
