variant,seed42,seed123,seed2026,mean,std,mean_ppl,delta_vs_s1_mean,delta_vs_s2_mean
s12,2.745604,,,2.745604,,15.574018,-0.010169,
s3,2.741402,,,2.741402,,15.508713,-0.014371,
s1,2.755773,,,2.755773,,15.733198,+0.000000,
