seed,variant,loss,ppl,delta_vs_s1,delta_vs_s3,tokens,sequences
42,s1,1.741829,5.707773,+0.000000,+0.009010,17625568,84688
42,center_dynamic,1.734228,5.664553,-0.007601,+0.001409,17625568,84688
42,s3,1.732819,5.656577,-0.009010,+0.000000,17625568,84688
123,s1,1.738371,5.688070,+0.000000,+0.011750,17625568,84688
123,center_dynamic,1.734176,5.664259,-0.004195,+0.007555,17625568,84688
123,s3,1.726621,5.621626,-0.011750,+0.000000,17625568,84688
2026,s1,1.734557,5.666417,+0.000000,+0.001926,17625568,84688
2026,center_dynamic,1.731871,5.651217,-0.002686,-0.000760,17625568,84688
2026,s3,1.732631,5.655514,-0.001926,+0.000000,17625568,84688
